birdname,TaxonomyId,EnglishName,ScientificName,Count
Red-breasted goose,21014,Red-breasted Goose,Branta ruficollis,263
Canada goose,20994,Canada Goose,Branta canadensis,931
Canada goose,21000,Todd's Canada Goose,Branta canadensis interior,75
Canada goose,20998,Lesser Canada Goose,Branta canadensis parvipes,29
Canada goose,21001,Atlantic Canada Goose,Branta canadensis canadensis,1
Barnacle goose,21013,Barnacle Goose,Branta leucopsis,420
Cackling goose,21007,Richardson's Cackling Goose,Branta hutchinsii hutchinsii,132
Cackling goose,21005,Ridgway's Cackling Goose,Branta hutchinsii minima,43
Cackling goose,21002,Cackling Goose,Branta hutchinsii,10
Cackling goose,21006,Taverner's Cackling Goose,Branta hutchinsii taverneri,8
Snow goose,20988,Snow Goose,Anser caerulescens,283
Snow goose,20989,Lesser Snow Goose,Anser caerulescens caerulescens,6
Snow goose,20990,Greater Snow Goose,Anser caerulescens atlanticus,0
Greylag goose,20974,Greylag Goose,Anser anser,1231
Taiga bean goose,20967,Taiga Bean Goose,Anser fabalis,140
Pink-footed goose,20984,Pink-footed Goose,Anser brachyrhynchus,568
Tundra bean goose,20971,Tundra Bean Goose,Anser serrirostris,377
Greater white-fronted goose,20977,Greater White-fronted Goose,Anser albifrons,28
Lesser white-fronted goose,20985,Lesser White-fronted Goose,Anser erythropus,47
Mute swan,21023,Mute Swan,Cygnus olor,2147
Tundra swan,21018,Tundra Swan,Cygnus columbianus,0
Whooper swan,21025,Whooper Swan,Cygnus cygnus,1572
Egyptian goose,21053,Egyptian Goose,Alopochen aegyptiaca,652
Ruddy shelduck,21073,Ruddy Shelduck,Tadorna ferruginea,301
Common shelduck,21072,Common Shelduck,Tadorna tadorna,1036
Mandarin duck,21090,Mandarin Duck,Aix galericulata,1364
Baikal teal,21196,Baikal Teal,Sibirionetta formosa,80
Garganey,21195,Garganey,Spatula querquedula,1116
Blue-winged teal,21181,Blue-winged Teal,Spatula discors,253
Northern shoveler,21184,Northern Shoveler,Spatula clypeata,1244
Gadwall,21112,Gadwall,Mareca strepera,1006
Falcated duck,21169,Falcated Duck,Mareca falcata,16
Eurasian wigeon,21171,Eurasian Wigeon,Mareca penelope,963
American wigeon,21172,American Wigeon,Mareca americana,519
Mallard,21118,Mallard,Anas platyrhynchos,2045
Mallard,196495,American Black Duck × Mallard,Anas rubripes × platyrhynchos,0
American black duck,21174,American Black Duck,Anas rubripes,115
American black duck,196495,American Black Duck × Mallard,Anas rubripes × platyrhynchos,0
Northern pintail,21194,Northern Pintail,Anas acuta,873
Green-winged teal,21197,Green-winged Teal,Anas carolinensis,553
Red-crested pochard,21208,Red-crested Pochard,Netta rufina,584
Canvasback,21217,Canvasback,Aythya valisineria,22
Common pochard,21219,Common Pochard,Aythya ferina,761
Ferruginous duck,21222,Ferruginous Duck,Aythya nyroca,461
Ring-necked duck,21224,Ring-necked Duck,Aythya collaris,969
Tufted duck,21225,Tufted Duck,Aythya fuligula,1418
Greater scaup,21214,Greater Scaup,Aythya marila,790
Lesser scaup,21226,Lesser Scaup,Aythya affinis,687
Steller's eider,21228,Steller's Eider,Polysticta stelleri,61
King eider,21238,King Eider,Somateria spectabilis,475
Common eider,21230,Common Eider,Somateria mollissima,1008
Harlequin duck,21240,Harlequin Duck,Histrionicus histrionicus,228
Surf scoter,21247,Surf Scoter,Melanitta perspicillata,210
Velvet scoter,21248,Velvet Scoter,Melanitta fusca,258
White-winged scoter,21246,White-winged Scoter,Melanitta deglandi,59
Common scoter,21249,Common Scoter,Melanitta nigra,336
Black scoter,21250,Black Scoter,Melanitta americana,61
Long-tailed duck,21252,Long-tailed Duck,Clangula hyemalis,1015
Bufflehead,21257,Bufflehead,Bucephala albeola,81
Common goldeneye,21254,Common Goldeneye,Bucephala clangula,1005
Barrow's goldeneye,21258,Barrow's Goldeneye,Bucephala islandica,106
Smew,21260,Smew,Mergellus albellus,993
Hooded merganser,21262,Hooded Merganser,Lophodytes cucullatus,286
Red-breasted merganser,21270,Red-breasted Merganser,Mergus serrator,725
Ruddy duck,21277,Ruddy Duck,Oxyura jamaicensis,162
Red grouse,21787,Red Grouse,Lagopus lagopus scotica,1248
Black grouse,21719,Black Grouse,Lyrurus tetrix,306
Black grouse,196593,Western Capercaillie × Black Grouse,Tetrao urogallus × Lyrurus tetrix,1
Western capercaillie,21706,Western Capercaillie,Tetrao urogallus,65
Western capercaillie,196593,Western Capercaillie × Black Grouse,Tetrao urogallus × Lyrurus tetrix,1
Red-legged partridge,21858,Red-legged Partridge,Alectoris rufa,615
Grey partridge,21999,Grey Partridge,Perdix perdix,389
Common quail,22025,Common Quail,Coturnix coturnix,49
Common pheasant,22276,Common Pheasant,Phasianus colchicus,1248
Golden pheasant,22313,Golden Pheasant,Chrysolophus pictus,64
Lady Amherst's pheasant,22314,Lady Amherst's Pheasant,Chrysolophus amherstiae,17
Black-browed albatross,22446,Black-browed Albatross,Thalassarche melanophris,100
Atlantic yellow-nosed albatross,22451,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,8
Northern fulmar,22487,Northern Fulmar,Fulmarus glacialis,1306
Fea's petrel,22540,Fea's Petrel,Pterodroma feae,33
Black-capped petrel,22543,Black-capped Petrel,Pterodroma hasitata,6
Cory's shearwater,22580,Cory's Shearwater,Calonectris borealis,232
Scopoli's shearwater,22579,Scopoli's Shearwater,Calonectris diomedea,24
Great shearwater,22589,Great Shearwater,Ardenna gravis,351
Sooty shearwater,22585,Sooty Shearwater,Ardenna grisea,156
Manx shearwater,22609,Manx Shearwater,Puffinus puffinus,268
Yelkouan shearwater,22610,Yelkouan Shearwater,Puffinus yelkouan,8
Balearic shearwater,22611,Balearic Shearwater,Puffinus mauretanicus,88
Barolo shearwater,22623,Barolo Shearwater,Puffinus baroli,2
Wilson's storm petrel,22391,Wilson's Storm Petrel,Oceanites oceanicus,250
White-faced storm petrel,22402,White-faced Storm Petrel,Pelagodroma marina,22
European storm petrel,22455,European Storm Petrel,Hydrobates pelagicus,174
Leach's storm petrel,22462,Leach's Storm Petrel,Oceanodroma leucorhoa,144
Swinhoe's storm petrel,22474,Swinhoe's Storm Petrel,Oceanodroma monorhis,13
Red-billed tropicbird,22731,Red-billed Tropicbird,Phaethon aethereus,48
Northern gannet,23092,Northern Gannet,Morus bassanus,2415
Red-footed booby,23106,Red-footed Booby,Sula sula,46
Great cormorant,23152,Great Cormorant,Phalacrocorax carbo,1735
Double-crested cormorant,23139,Double-crested Cormorant,Phalacrocorax auritus,30
European shag,23145,European Shag,Phalacrocorax aristotelis,847
Magnificent frigatebird,23089,Magnificent Frigatebird,Fregata magnificens,60
Ascension frigatebird,23087,Ascension Frigatebird,Fregata aquila,10
Dalmatian pelican,23070,Dalmatian Pelican,Pelecanus crispus,108
American bittern,22890,American Bittern,Botaurus lentiginosus,95
Little bittern,22899,Little Bittern,Ixobrychus minutus,412
Black-crowned night heron,22921,Black-crowned Night Heron,Nycticorax nycticorax,806
Green heron,22946,Green Heron,Butorides virescens,393
Squacco heron,22978,Squacco Heron,Ardeola ralloides,650
Chinese pond heron,22980,Chinese Pond Heron,Ardeola bacchus,32
Cattle egret,22984,Western Cattle Egret,Bubulcus ibis,1663
Cattle egret,22985,Eastern Cattle Egret,Bubulcus coromandus,8
Little egret,23035,Little Egret,Egretta garzetta,3660
Snowy egret,23032,Snowy Egret,Egretta thula,76
Great egret,23003,Great Egret,Ardea alba,2314
Great egret,23006,American Great Egret,Ardea alba egretta,3
Grey heron,22987,Grey Heron,Ardea cinerea,3919
Great blue heron,22992,Great Blue Heron,Ardea herodias,110
Purple heron,22998,Purple Heron,Ardea purpurea,613
Glossy ibis,22840,Glossy Ibis,Plegadis falcinellus,1968
Black stork,22767,Black Stork,Ciconia nigra,251
White stork,22764,White Stork,Ciconia ciconia,775
Pied-billed grebe,22672,Pied-billed Grebe,Podilymbus podiceps,243
Little grebe,22644,Little Grebe,Tachybaptus ruficollis,1805
Little grebe,196496,Pied-billed × Little Grebe,Podilymbus podiceps × Tachybaptus ruficollis,0
Great crested grebe,22693,Great Crested Grebe,Podiceps cristatus,3220
Red-necked grebe,22690,Red-necked Grebe,Podiceps grisegena,871
Red-necked grebe,22692,Holboell's Red-necked Grebe,Podiceps grisegena holbollii,0
Black-necked grebe,22700,Black-necked Grebe,Podiceps nigricollis,1324
European honey buzzard,23292,European Honey Buzzard,Pernis apivorus,300
Black kite,23735,Black Kite,Milvus migrans,372
Red kite,23732,Red Kite,Milvus milvus,2633
Red kite,23737,Black-eared Kite,Milvus migrans lineatus,151
Red kite,23244,Black-shouldered Kite,Elanus axillaris,38
Red kite,23275,White-collared Kite,Leptodon forbesi,0
White-tailed eagle,23752,White-tailed Eagle,Haliaeetus albicilla,705
Egyptian vulture,23265,Egyptian Vulture,Neophron percnopterus,120
Short-toed snake eagle,23396,Short-toed Snake Eagle,Circaetus gallicus,264
Western marsh harrier,23713,Western Marsh Harrier,Circus aeruginosus,1947
Hen harrier,23725,Hen Harrier,Circus cyaneus,895
Pallid harrier,23728,Pallid Harrier,Circus macrourus,447
Pallid harrier,196265,Hen x Pallid Harrier,Circus cyaneus × macrourus,3
Montagu's harrier,23730,Montagu's Harrier,Circus pygargus,314
Northern goshawk,23676,Northern Goshawk,Accipiter gentilis,191
Eurasian sparrowhawk,23646,Eurasian Sparrowhawk,Accipiter nisus,2814
Common buzzard,23909,Common Buzzard,Buteo buteo,3646
Rough-legged buzzard,23897,Rough-legged Buzzard,Buteo lagopus,556
Greater spotted eagle,23461,Greater Spotted Eagle,Clanga clanga,49
Golden eagle,23476,Golden Eagle,Aquila chrysaetos,343
Osprey,23230,Western Osprey,Pandion haliaetus,1561
Osprey,23234,Eastern Osprey,Pandion cristatus,8
Osprey,23232,American Osprey,Pandion haliaetus carolinensis,3
Osprey,23228,Ospreys,Pandionidae,0
Lesser kestrel,31964,Lesser Kestrel,Falco naumanni,233
Common kestrel,31855,Common Kestrel,Falco tinnunculus,4418
American kestrel,31876,American Kestrel,Falco sparverius,56
Red-footed falcon,31973,Red-footed Falcon,Falco vespertinus,1040
Amur falcon,31974,Amur Falcon,Falco amurensis,66
Eurasian hobby,31920,Eurasian Hobby,Falco subbuteo,977
Eleonora's falcon,31975,Eleonora's Falcon,Falco eleonorae,80
Gyr falcon,31983,Gyr Falcon,Falco rusticolus,111
Peregrine falcon,31944,Peregrine Falcon,Falco peregrinus,1532
Water rail,24232,Water Rail,Rallus aquaticus,1883
Spotted crake,24354,Spotted Crake,Porzana porzana,475
